Id,category,text
89,snack,"""RecipeName"": ""Buttery Trail Chex Mix"",
""Ingredients"": [
""cups Wheat Chex™ cereal"",
""cup butter or margarine, melted"",
""cup raisins"",
""cup candy-coated milk chocolate candies"",
""jar (12 oz) dry roasted peanuts""
],
""PrepMethods"": [
""In large bowl, mix cereal and melted butter; toss to coat."",
""Add remaining ingredients; toss to mix. Store in airtight container.""
]
"
90,appetizer,"""RecipeName"": ""Caesar Deviled Eggs"",
""Ingredients"": [
""hard-cooked eggs"",
""cup mayonnaise or salad dressing"",
""tablespoons Caesar dressing mix (from 1.2-ounce package)"",
""medium green onions, chopped (2 tablespoons)"",
""tablespoons red or black caviar"",
""sprigs lemon thyme""
],
""PrepMethods"": [
""Cut eggs lengthwise in half with rippled vegetable cutter or sharp knife. Carefully remove yolks and place in small bowl; reserve egg white halves."",
""Mash yolks, mayonnaise, dressing mix (dry) and onions until fluffy. Carefully spoon yolk mixture into egg white halves."",
""""""
Top each egg half with about 1/2 teaspoon caviar and a thyme sprig.
""""""
]
"
91,beverage,"""RecipeName"": ""Caipirinhas"",
""Ingredients"": [
""small limes, quartered"",
""cup sugar"",
""to 3 oz cachaça or light rum   "",
""Crushed ice""
],
""PrepMethods"": [
""Place 1 quartered lime in each of 4 lowball glasses. Using a wooden spoon or muddler, crush limes."",
""Add 2 tablespoons sugar to each glass; stir until sugar is dissolved. Add cachaça; top each glass with ice. ""
]
"
92,condiment,"""RecipeName"": ""Cajun Spice Rub"",
""Ingredients"": [
""teaspoon black pepper"",
""teaspoon white pepper"",
""teaspoon ground red pepper (cayenne)"",
""teaspoon salt"",
""teaspoon ground cumin"",
""teaspoon ground nutmeg"",
""tablespoon vegetable oil""
],
""PrepMethods"": [
""Mix all ingredients except oil. Brush oil on both sides of 1 pound chicken, pork or beef. Rub with seasoning mix."",
""Grill meat as desired.""
]
"
93,snack,"""RecipeName"": ""Cake Batter Chex® Mix"",
""Ingredients"": [
""cups Rice Chex™ cereal"",
""cup white vanilla baking chips (6 oz)"",
""cup butter, cut into pieces"",
""teaspoon vanilla"",
""cup Betty Crocker™ Super Moist™ vanilla cake mix"",
""cup powdered sugar"",
""tablespoons assorted Betty Crocker™ Decorating Decors candy sprinkles""
],
""PrepMethods"": [
""Heat oven to 250°F. In large bowl, place cereal; set aside."",
""In small microwavable bowl, microwave white chips and butter uncovered on High 30 seconds; stir. Continue to microwave in 30-second increments until chips and butter are softened and can be stirred smooth. Stir in vanilla."",
""Drizzle mixture over cereal; toss until well coated. Sprinkle dry cake mix, powdered sugar and sprinkles over cereal; toss until well coated. Spread in single layer in 15x10-inch pan or large cookie sheet."",
""Bake uncovered 30 minutes, stirring after 15 minutes. Cool about 15 minutes. Store tightly covered at room temperature.""
]
"
94,snack,"""RecipeName"": ""Candied Pecan Chex™ Mix"",
""Ingredients"": [
""cup granulated sugar"",
""cup brown sugar"",
""tablespoon ground cinnamon"",
""teaspoon salt"",
""teaspoon cayenne pepper"",
""cups Chex™ cereal (I used equal parts corn, rice, and wheat Chex)"",
""cups raw pecan halves"",
""cups pretzels"",
""egg whites, whisked""
],
""PrepMethods"": [
""Preheat oven to 300° F. Line two large baking sheets with parchment paper."",
""In a mixing bowl, whisk together sugars, cinnamon, salt and cayenne until evenly combined; set aside. In second large mixing bowl, combine Chex™, pecans and pretzels.  Add in the egg whites, and toss for 1-2 minutes, or until the mixture is evenly coated.  Add the sugar mixture, and continue tossing until the mixture is evenly coated."",
""Spread the mixture out evenly on the two prepared baking sheets.  Bake for 20 minutes, then remove from the oven and toss the mixture for even cooking, breaking up chunks if needed.  Bake for an additional 20-25 minutes, or until the mixture is crisping up and is no longer moist.  (It will continue to crisp as it cools.) Remove from the oven and place on a cooling rack until the mix reaches room temperature."",
""Break the mix up into small pieces if desired, then serve immediately or store in a sealed container for up to 2 weeks.""
]
"
95,dessert,"""RecipeName"": ""Candy Cane Coffee Cake"",
""Ingredients"": [
""packages regular or quick active dry yeast"",
""cup warm water (105°F to 115°F)"",
""cups buttermilk"",
""eggs"",
""to 6 cups Gold Medal™ Better for Bread™ flour or Gold Medal™ all-purpose flour"",
""cup butter or margarine, softened"",
""cup sugar"",
""teaspoons baking powder"",
""teaspoons salt"",
""cups chopped dried apricots"",
""cups chopped drained maraschino cherries"",
""Coffee Cake Glaze"",
""cups red cinnamon candies, if desired""
],
""PrepMethods"": [
""Dissolve yeast in warm water in large bowl. Add buttermilk, sugar, butter, eggs, baking powder, salt and 2 1/2 cups of the flour. Beat with electric mixer on low speed 30 seconds, scraping bowl constantly. Beat on medium speed 2 minutes, scraping bowl occasionally. Stir in enough remaining flour to make dough easy to handle. (Dough should be soft and slightly sticky.) "",
""Grease 3 cookie sheets. Turn dough onto well-floured surface; gently knead about 5 minutes or until smooth and elastic. Divide dough into 3 equal parts. Roll one part into rectangle, 15x9 inches. Place rectangle on cookie sheet. "",
""Mix apricots and chopped cherries. Spread one-third of the apricot mixture in a strip about 2 1/2 inches wide lengthwise down center of rectangle. Make cuts in dough at 1/2-inch intervals on both 15-inch sides almost to filling. Fold strips over filling, overlapping and crossing in center. Carefully stretch dough until 22 inches long; curve one end to form top of cane. Repeat with remaining 2 parts of dough. Cover and let rise in warm place about 1 hour or until double. (Dough is ready if indentation remains when touched.)"",
""Heat oven to 375°F. Bake 20 to 25 minutes or until golden brown. Drizzle Glaze over warm coffee cakes. Decorate with cinnamon candies. ""
]
"
96,beverage,"""RecipeName"": ""Cappuccino Nog"",
""Ingredients"": [
""eggs, slightly beaten"",
""cup granulated sugar"",
""teaspoon salt"",
""cups milk"",
""teaspoons vanilla"",
""cups hot espresso coffee"",
""cup coffee liqueur or brandy"",
""cups whipping (heavy) cream"",
""tablespoons packed brown sugar"",
""Ground cinnamon""
],
""PrepMethods"": [
""Stir together eggs, granulated sugar and salt in heavy Dutch oven. Gradually stir in milk. Cook over low heat 15 to 20 minutes, stirring constantly, just until mixture coats a metal spoon; remove from heat. Stir in vanilla. Stir together coffee and liqueur. Gradually stir coffee mixture into egg mixture; keep warm. "",
""Just before serving, beat whipping cream and brown sugar in chilled large bowl with electric mixer on high speed until stiff. Gently stir 2 cups of the whipped cream into egg mixture. "",
""Pour into mugs. Top with dollops of remaining whipped cream. Sprinkle with cinnamon. Serve immediately. Immediately refrigerate any remaining nog.""
]
"
97,beverage,"""RecipeName"": ""Caramel Apple Cider"",
""Ingredients"": [
""cup packed brown sugar"",
""cup whipping cream"",
""teaspoon vanilla"",
""cups apple cider"",
""Additional whipping cream, whipped"",
""Caramel topping"",
""Ground cinnamon""
],
""PrepMethods"": [
""In 2-quart saucepan, stir together brown sugar and 1/3 cup whipping cream. Cook over medium heat 2 minutes, stirring constantly, until bubbly. Stir in vanilla and apple cider. Cook 10 minutes, stirring often, until thoroughly heated."",
""Serve cider in mugs. Top with whipped cream, caramel topping and/or cinnamon.""
]
"
98,condiment,"""RecipeName"": ""Caramel Apple Topping"",
""Ingredients"": [
""tablespoons butter or margarine"",
""medium eating apples, peeled and sliced (3 1/2 cups)"",
""cup caramel topping""
],
""PrepMethods"": [
""Melt butter in 10-inch skillet over medium heat. Stir in apples. "",
""Cook about 3 minutes, stirring frequently, until tender. Pour caramel topping over apples. Heat, stirring frequently, until warm.""
]
"
99,snack,"""RecipeName"": ""Caramel Corn Chex™ Mix"",
""Ingredients"": [
""cups popped microwave popcorn"",
""cups Corn Chex™ cereal"",
""cup mixed nuts"",
""cup butter or margarine, cut up"",
""cup packed brown sugar"",
""cup light corn syrup"",
""cup white vanilla baking chips"",
""cup sweetened dried cranberries""
],
""PrepMethods"": [
""Remove and discard unpopped kernels from popped popcorn. In large microwavable bowl, mix popcorn, cereal and nuts; set aside."",
""In 2-cup microwavable measuring cup, microwave butter, brown sugar and corn syrup uncovered on High about 1 minute 30 seconds, stirring after 1 minute, until mixture is boiling."",
""Pour over cereal mixture, stirring until evenly coated. Microwave uncovered on High about 5 minutes, stirring and scraping bowl after every minute, until cereal just begins to turn brown. Spread on waxed paper or foil to cool, about 15 minutes, stirring occasionally to break up."",
""In medium microwavable bowl, microwave baking chips uncovered on High 1 minute to 1 minute 30 seconds, stirring every 30 seconds, until melted and smooth. Add 3 cups of the cooled cereal mixture to melted chips; toss gently until evenly coated. Spread on waxed paper or foil. Cool about 30 minutes or until set."",
""In serving bowl, mix both cereal mixtures and cranberries. Store in airtight container.""
]
"
100,snack,"""RecipeName"": ""Caramel Corn"",
""Ingredients"": [
""cups popped popcorn"",
""cup toasted slivered almonds, if desired"",
""cup firmly packed brown sugar"",
""cup butter"",
""tablespoons water"",
""tablespoons light corn syrup"",
""teaspoon salt"",
""teaspoon baking soda""
],
""PrepMethods"": [
""Heat oven to 250°F. Spread popcorn in ungreased 15x10x1-inch baking pan. Sprinkle almonds over popcorn."",
""In large saucepan, combine brown sugar, butter, water, corn syrup and salt; mix well. Bring to a boil over medium heat. Boil 2 minutes, stirring constantly."",
""Remove saucepan from heat. Stir in baking soda until well mixed. Immediately pour mixture over popcorn and almonds; toss until coated."",
""Bake at 250°F. for 15 minutes. Stir; bake an additional 15 minutes. Stir; bake 5 minutes. Immediately spread on foil or waxed paper. Cool 30 minutes before serving.""
]
"
101,beverage,"""RecipeName"": ""Caramel Hot Chocolate"",
""Ingredients"": [
""cups light chocolate soymilk"",
""tablespoons fat-free caramel topping"",
""Cool Whip fat-free frozen whipped topping, thawed, if desired"",
""Chopped pecans, if desired""
],
""PrepMethods"": [
""In 1-quart saucepan, stir soymilk and caramel topping until well blended. Heat over medium-high heat, stirring frequently, until hot."",
""Pour into 2 mugs. Garnish with whipped topping and pecans.""
]
"
102,dessert,"""RecipeName"": ""Caramel-Banana Roll-Ups"",
""Ingredients"": [
""firm ripe medium bananas"",
""tablespoons lemon juice"",
""flour tortillas, (7 to 8 inches in diameter)"",
""cup sugar"",
""teaspoon ground cinnamon"",
""tablespoons butter or margarine, melted"",
""cup caramel, chocolate or butterscotch topping""
],
""PrepMethods"": [
""Heat oven to 450°F. Grease cookie sheet. "",
""Peel bananas and cut lengthwise in half; brush with lemon juice. Place 1 banana half on each tortilla. Stir together sugar and cinnamon; reserve 1 tablespoon. Sprinkle bananas with remaining sugar and cinnamon."",
""Roll each tortilla around banana; place seam side on cookie sheet. Brush with butter. Sprinkle with reserved sugar and cinnamon. "",
""Bake 6 to 8 minutes or until golden brown. Place on dessert plates. Drizzle with topping.""
]
"
103,condiment,"""RecipeName"": ""Caramelized Onion-Bacon Jam"",
""Ingredients"": [
""slices bacon"",
""large red onions, cut in half, then sliced vertically"",
""large sweet onions, cut in half, then sliced vertically"",
""large shallots, cut in half, then sliced vertically"",
""cup packed light brown sugar"",
""cup cider vinegar"",
""cup apple cider"",
""tablespoon chopped fresh thyme leaves"",
""teaspoon salt""
],
""PrepMethods"": [
""In 4- to 5-quart Dutch oven, cook bacon until crisp; drain on paper towels, reserving drippings in Dutch oven. Crumble bacon; set aside."",
""Cook onions and shallots in bacon drippings over medium-low heat 15 minutes, stirring occasionally, or until golden brown and tender. Add brown sugar, vinegar, cider and thyme. Reduce heat to low; cook 40 minutes, stirring occasionally, or until thickened. Remove from heat; stir in bacon. Cool to room temperature. Store covered in refrigerator.""
]
"
104,condiment,"""RecipeName"": ""Caramelized Shallot Jam"",
""Ingredients"": [
""tablespoons olive oil"",
""large shallots, thinly sliced (about 1 cup)"",
""cup packed brown sugar"",
""cup red wine vinegar"",
""teaspoon salt"",
""oz chèvre (goat) cheese"",
""Food Should Taste Good™ peppercorn blend brown rice crackers, as desired""
],
""PrepMethods"": [
""In 1-quart saucepan, heat oil over medium-high heat. Add shallots and brown sugar; cook about 5 minutes to soften shallots, stirring constantly. Reduce heat to medium, and cook until reduced to jam consistency. Stir in vinegar and salt. Transfer to serving bowl."",
""Serve with goat cheese and crackers.""
]
"
105,appetizer,"""RecipeName"": ""Caramelized-Onion Bruschetta"",
""Ingredients"": [
""cup butter or margarine"",
""large red onions, cut in half and thinly sliced"",
""cup sugar"",
""tablespoons raspberry or balsamic vinegar"",
""loaf (1 pound) baguette bread, cut into 1/2-inch slices"",
""tub (8 ounces) soft cream cheese with herbs or vegetables"",
""tablespoons chopped fresh parsley""
],
""PrepMethods"": [
""In 12-inch heavy skillet, melt butter over medium-high heat until sizzling. Cook onions in butter 5 to 6 minutes, stirring frequently, until onions are softened. Stir in sugar and vinegar. Cook 9 to 10 minutes, stirring frequently, until onions are very soft and light golden brown.  Cool onion mixture slightly, about 10 minutes."",
""Set oven control to broil. Place bread slices on cookie sheet. Broil with tops 4 inches from heat 1 to 2 minutes or until lightly browned.  Turn bread; broil 1 to 2 minutes longer or until lightly browned."",
""Spread about 2 teaspoons cream cheese on each bread slice. Top each with 1 tablespoon onion mixture; sprinkle with small amount parsley.""
]
"
106,snack,"""RecipeName"": ""Caramel-Popcorn Bars"",
""Ingredients"": [
""bag (3.5 oz) microwave popcorn (any variety), popped"",
""cup coarsely crushed peanut brittle (6 oz)"",
""bag (14 oz) caramels"",
""tablespoon water"",
""teaspoon vanilla""
],
""PrepMethods"": [
""Butter bottom and sides of 13x9-inch pan. Remove and discard unpopped kernels from popped popcorn."",
""In large bowl, mix popcorn and peanut brittle. In 4-cup microwavable measuring cup, microwave caramels and water uncovered on High 2 to 4 minutes, stirring every minute, until smooth. Stir in vanilla."",
""Pour over popcorn mixture; toss until evenly coated. Press in pan with buttered hands. Let stand about 30 minutes or until set. For 24 bars, cut into 6 rows by 4 rows with wet knife.""
]
"
107,appetizer,"""RecipeName"": ""Caribbean Chicken Drummies"",
""Ingredients"": [
""cup pineapple juice"",
""cup ketchup"",
""cup packed brown sugar"",
""cup teriyaki marinade and sauce"",
""cup honey"",
""cloves garlic, finely chopped"",
""lb chicken drummettes (about 24)""
],
""PrepMethods"": [
""Heat oven to 350°F. Line 13x9-inch pan with foil."",
""In 1-quart saucepan, heat all ingredients except chicken to boiling, stirring occasionally. Place chicken in pan; pour sauce over chicken."",
""Bake uncovered about 1 hour, turning chicken 2 to 3 times, until juice of chicken is no longer pink when centers of thickest pieces are cut."",
""Spray inside of 3 1/2- to 4-quart slow cooker with cooking spray. Place chicken in slow cooker. Cover and keep warm on Low heat setting for up to 2 hours.""
]
"
108,appetizer,"""RecipeName"": ""Caribbean Layered Dip"",
""Ingredients"": [
""package (8 oz) cream cheese, softened"",
""cup sour cream"",
""tablespoon Old El Paso™ taco seasoning mix (from 1-oz package)"",
""can (15 oz) Progresso™ black beans, drained, well rinsed"",
""cup chopped red bell pepper"",
""cup chopped mango"",
""tablespoons chopped fresh cilantro"",
""to 2 teaspoons finely chopped jalapeño chiles"",
""Lime-flavored or plain tortilla chips""
],
""PrepMethods"": [
""In small bowl, mix cream cheese, sour cream and taco seasoning mix with spoon or electric mixer on medium speed until well mixed. Spread on 10-inch round serving plate."",
""Top cream cheese mixture with remaining ingredients except tortilla chips. Serve immediately, or refrigerate until serving. Serve with tortilla chips.""
]
"
109,condiment,"""RecipeName"": ""Carrot and Celery Relish"",
""Ingredients"": [
""to 5 medium carrots, coarsely shredded (2 1/2 cups)"",
""medium stalks celery, sliced (2 cups)"",
""small green bell pepper, chopped (1/2 cup)"",
""cup sugar"",
""cup white vinegar"",
""teaspoons salt"",
""teaspoon celery seed"",
""teaspoons cornstarch"",
""teaspoons cold water""
],
""PrepMethods"": [
""""""
Mix all ingredients except cornstarch and water in 2- to 3 1/2-quart slow cooker.

"""""",
""""""
Cover and cook on high heat setting 2 to 2 1/2 hours or until vegetables are tender.

"""""",
""""""
Mix cornstarch and water; stir into vegetable mixture.

"""""",
""""""
Cover and cook on high heat setting about 15 minutes or until thickened. Cool about 2 hours.

"""""",
""""""
Spoon relish into container. Cover and store in refrigerator up to  3 weeks.

""""""
]
"
110,appetizer,"""RecipeName"": ""Cedar-Planked Brie and Berries "",
""Ingredients"": [
""untreated cedar plank (about 15x6 inches)"",
""small round (4 1/2 oz) Brie cheese"",
""cup diced mango"",
""cup fresh raspberries"",
""teaspoon kosher (coarse) salt"",
""tablespoons honey"",
""slices (1/4 inch thick) baguette French bread""
],
""PrepMethods"": [
""Soak cedar plank in water at least 30 minutes. Meanwhile, heat gas or charcoal grill."",
""Remove plank from water. Place cheese (in rind) on plank. Spoon mango and raspberries over cheese. Sprinkle with salt."",
""Place plank with cheese on grill over medium heat. Cover grill; cook 15 to 20 minutes or until cheese is warm."",
""Remove plank from grill. Transfer cheese and fruits to serving plate. Drizzle honey over cheese and fruits. Serve with bread slices.""
]
"
111,dessert,"""RecipeName"": ""Celebration Cookies "",
""Ingredients"": [
""box Betty Crocker™ Super Moist™ white or yellow cake mix"",
""cup shortening"",
""cup butter or margarine, softened"",
""teaspoon vanilla"",
""egg"",
""container Betty Crocker™ Rich & Creamy frosting (any flavor)""
],
""PrepMethods"": [
""Heat oven to 375°F (350°F for dark or nonstick pans). In large bowl, mix about half of the dry cake mix, the shortening, butter, vanilla and egg, using spoon, until thoroughly mixed. Stir in remaining cake mix. Break up any lumps with fork."",
""Divide dough in half. On lightly floured cloth-covered board, roll each half 1/4 inch thick with cloth-covered rolling pin. Cut dough with 2 1/2-inch bell- or heart-shaped cookie cutter. Place 1 inch apart on ungreased cookie sheets."",
""Bake 6 to 8 minutes or just until set (centers will be soft). Remove from cookie sheets to cooling rack. Cool completely, about 30 minutes. Decorate cookies with frosting. Store loosely covered.""
]
"
112,snack,"""RecipeName"": ""Cereal Cutouts"",
""Ingredients"": [
""cups Cheerios™ cereal"",
""cup butter or margarine"",
""bag (10.5 oz) miniature marshmallows (6 cups)"",
""teaspoon food color (any color)"",
""Betty Crocker™ decorator icing (from 4.25-oz tube), if desired"",
""Assorted candies or small gumdrops, if desired""
],
""PrepMethods"": [
""Spray a 15x10x1-inch pan with cooking spray. Pour the cereal into a large bowl."",
""Place the butter and marshmallows in a 2-quart saucepan. Heat over low heat, stirring constantly, until the mixture is smooth. Remove the saucepan from the heat."",
""Stir in the food color until the mixture is evenly colored. Pour the marshmallow mixture over the cereal and stir until it is evenly coated. Pour the mixture into the pan. With the buttered back of a spoon, press the mixture in the pan until it is even. Cool completely, about 1 hour."",
""With 2-inch cookie cutters, cut the mixture into shapes. Decorate the cutouts using the decorator icing to attach the candies. Store the cutouts in a loosely covered container.""
]
"
113,appetizer,"""RecipeName"": ""Ceviche-Style Shrimp Cocktail"",
""Ingredients"": [
""lb cooked deveined peeled medium shrimp, thawed if frozen, tail shells removed"",
""large avocado, pitted, peeled and diced"",
""medium cucumber, peeled, diced"",
""cup finely chopped red onion"",
""cup sliced green onions (12 medium)"",
""plum (Roma) tomatoes, chopped"",
""serrano chile, seeded, chopped"",
""cup finely chopped fresh cilantro"",
""cup ketchup"",
""cup Bloody Mary mix"",
""cup seasoned tomato-clam cocktail"",
""cup fresh lime juice"",
""teaspoon salt"",
""teaspoon garlic salt"",
""Few drops red pepper sauce, if desired"",
""Saltine crackers, if desired""
],
""PrepMethods"": [
""In large bowl, place shrimp, avocado, cucumber, onions, tomatoes, chile and cilantro; toss gently to mix."",
""In medium bowl, mix remaining ingredients except crackers until blended. Pour over shrimp mixture, stirring to mix."",
""Cover and refrigerate 1 to 2 hours to marinate. Spoon 3/4 cup shrimp mixture into each of 10 glasses. Serve with saltine crackers.""
]
"
114,beverage,"""RecipeName"": ""Chai Iced Tea"",
""Ingredients"": [
""chai tea bags"",
""cups hot water"",
""tablespoon vanilla"",
""to 1/2 cup packed brown sugar"",
""cup orange-flavored cream soda"",
""cup vanilla-flavored cream soda"",
""cup milk"",
""Cinnamon sticks, if desired""
],
""PrepMethods"": [
""Chill glasses in freezer several hours before serving."",
""Steep tea bags in hot water 3 to 5 minutes. Remove bags. Stir vanilla and brown sugar into tea until sugar is dissolved. Stir in all remaining ingredients except cinnamon sticks. Refrigerate at least 1 to 2 hours to blend flavors."",
""Serve over ice. Garnish with cinnamon stick.""
]
"
115,beverage,"""RecipeName"": ""Chai"",
""Ingredients"": [
""cups water"",
""cup loose Darjeeling tea leaves or 5 tea bags black tea"",
""cups whole or 2% milk"",
""teaspoon ground cardamom"",
""whole cloves, crushed"",
""to 4 black peppercorns, crushed"",
""Pinch of ground cinnamon"",
""cup sweetened condensed milk or 4 teaspoons sugar""
],
""PrepMethods"": [
""In 2-quart saucepan, heat water to a rapid boil over medium-high heat; reduce heat to low. Add tea leaves; simmer 2 to 4 minutes to blend flavors. (If using tea bags, remove and discard.)"",
""Stir in remaining ingredients except sweetened condensed milk. Heat to boiling, but do not let milk boil over. Stir in sweetened condensed milk. Strain tea through strainer into cups.""
]
"
116,snack,"""RecipeName"": ""Cheddar Cauliflower Popcorn"",
""Ingredients"": [
""cups small cauliflower florets"",
""tablespoon olive oil"",
""teaspoon salt"",
""teaspoon black pepper"",
""cup finely shredded sharp Cheddar cheese""
],
""PrepMethods"": [
""Heat oven to 450°F. In large bowl, toss cauliflower, oil, salt and pepper until well mixed. Pour mixture into ungreased 15x10x1-inch pan. "",
""Bake 18 to 22 minutes, tossing halfway through bake time, until light golden brown and crisp-tender. Sprinkle with cheese. Let stand about 1 minute or until cheese is melted. ""
]
"
117,snack,"""RecipeName"": ""Cheerios™ and Trix™ Treat Bars"",
""Ingredients"": [
""cup margarine or butter"",
""cups miniature marshmallows or 1 pkg (10 oz) large marshmallows"",
""cups Cheerios™ Cereal"",
""cups Trix™ Cereal"",
""cup salted peanuts""
],
""PrepMethods"": [
""Spray  9-inch square pan with nonstick cooking spray; spray back of large spoon with cooking spray. Melt margarine in large saucepan over medium heat. Add marshmallows; cook until melted, stirring constantly. Remove from heat. Gently stir in cereals and peanuts."",
""Pour mixture into sprayed pan. With sprayed back of spoon, press mixture evenly in pan. Cool 30 minutes or until completely cooled."",
""Cut into bars; wrap individually in plastic wrap.""
]
"
118,snack,"""RecipeName"": ""Cheerios®-Raisin Bites"",
""Ingredients"": [
""cup warm water"",
""cups raisins"",
""cup roasted whole almonds"",
""teaspoon ground cinnamon"",
""teaspoon vanilla"",
""cup coarsely crushed Cheerios™ cereal""
],
""PrepMethods"": [
""In medium bowl, soak raisins in water 10 minutes or until plump. Drain; pat dry."",
""In bowl of food processor, add raisins and all remaining ingredients except cereal. Cover; process, stopping to scrape side of bowl if necessary, until mixture forms a thick, sticky paste. (You can add a little water if mixture is not sticky enough.)"",
""Roll mixture into 12 balls with moistened hands. In shallow dish, place cereal. Roll balls in cereal to coat. Serve immediately or cover and refrigerate until ready to serve.""
]
"
119,snack,"""RecipeName"": ""Cheesesteak Chex Mix®"",
""Ingredients"": [
""bag (8.75 oz) Chex Mix® sour cream & onion snack mix"",
""cup French-fried onions"",
""cup coarsely chopped beef jerky"",
""cup cubed Cheddar cheese""
],
""PrepMethods"": [
""In medium bowl, mix snack mix and onions. Just before serving, stir in jerky and cheese. Serve immediately.""
]
"
120,snack,"""RecipeName"": ""Cheesy Chicken Strips"",
""Ingredients"": [
""boneless, skinless chicken breast halves (1 1/4 pounds)"",
""cups cheese-flavored crackers, crushed (1 cup)"",
""cup finely shredded Cheddar cheese (2 ounces)"",
""egg"",
""Barbecue sauce, ketchup or ranch dressing, if desired""
],
""PrepMethods"": [
""""""
Heat oven to 400°. Spray jelly roll pan, 15 1/2x10 1/2x1 inch, with cooking spray.

"""""",
""Cut chicken lengthwise into 1/2-inch strips. Mix crushed crackers and cheese in large resealable plastic bag. Beat egg in large bowl; add chicken strips to egg and toss to coat. Remove chicken from egg, allowing excess to drip off; place chicken in bag of cracker mixture. Seal bag and shake to coat evenly with cracker mixture. Place chicken strips in single layer in pan."",
""Bake uncovered 10 to 12 minutes or until no longer pink in center. Serve with barbecue sauce.""
]
"
121,appetizer,"""RecipeName"": ""Cheesy Herb Pinwheels"",
""Ingredients"": [
""cups Original Bisquick™ mix"",
""teaspoon Italian seasoning"",
""teaspoon garlic powder"",
""cup water"",
""tablespoons butter or margarine, melted"",
""cup grated Parmesan cheese"",
""cup shredded mozzarella cheese"",
""cup pizza sauce""
],
""PrepMethods"": [
""Heat oven to 425°F. Grease cookie sheet. Mix Bisquick, Italian seasoning, garlic powder and water until dough forms. Turn dough onto surface dusted with Bisquick; gently roll in Bisquick to coat. Knead 10 times. "",
""Roll dough into 18x10-inch rectange. Brush with melted butter. Sprinkle with cheeses. Tightly roll up dough; pinch edge to seal. Cut roll into eighteen 1-inch slices. Place on cookie sheet. "",
""Bake 11 to 13 minutes or until golden. Heat pizza sauce until hot. Dip pinwheels into sauce.""
]
"
122,appetizer,"""RecipeName"": ""Cheesy Onion and Tomato Puffs"",
""Ingredients"": [
""sheet frozen puff pastry (from 17.3-ounce package), thawed"",
""tablespoons butter or margarine"",
""sweet onion, cut lengthwise into fourths and thinly sliced (2 1/2 cups)"",
""teaspoons packed brown sugar"",
""cup sun-dried tomatoes in oil and herbs, drained and finely chopped"",
""round (4 ounces) Camembert cheese, cut into 3/4x3/4x 1/4-inch pieces""
],
""PrepMethods"": [
""Heat oven to 400°. Spray 2 cookie sheets with cooking spray. Unfold pastry on lightly floured surface. Roll into 12-inch square, trimming edges to make even. Cut into 6 rows by 6 rows to make 36 (2-inch) squares. Place on cookie sheets. Bake 12 to 15 minutes, rearranging cookie sheets after 6 minutes, until puffed and golden brown. Remove from cookie sheets to wire rack. Cool until slightly warm."",
""Meanwhile, melt butter in 8-inch skillet over medium heat. Cook onion in butter 15 to 20 minutes, stirring occasionally, until tender. Stir in brown sugar. Cook and stir until onions are coated. Stir in tomatoes. Remove from heat; keep warm."",
""Place cooled pastry squares on same cookie sheets. Press cheese piece into center of each pastry square. Fill with about 1 teaspoon onion mixture. Bake about 1 minute or until cheese is melted.""
]
"
123,appetizer,"""RecipeName"": ""Cheesy Potato Skins"",
""Ingredients"": [
""large potatoes (2 pounds)"",
""tablespoons butter or margarine, melted"",
""cup shredded Colby-Monterey Jack or Cheddar cheese (4 ounces)"",
""cup sour cream"",
""medium green onions, sliced (1/2 cup)""
],
""PrepMethods"": [
""Heat oven to 375°F. Pierce potatoes to allow steam to escape. Bake 1 hour to 1 hour 15 minutes or until tender. Let stand until cool enough to handle. Cut potatoes lengthwise into fourths; carefully scoop out pulp, leaving 1/4-inch shells. Save potato pulp for another use. "",
""Set oven control to broil. Place potato shells, skin sides down, on rack in broiler pan. Brush with butter. "",
""Broil with tops 4 to 5 inches from heat about 5 minutes or until crisp and brown. Sprinkle with cheese. Broil about 30 seconds or until cheese is melted. Serve hot with sour cream and onions. ""
]
"
124,appetizer,"""RecipeName"": ""Cheesy Stars"",
""Ingredients"": [
""cup finely chopped sweet onion (such as Walla Walla or Maui)"",
""cup shredded Swiss cheese (2 oz)"",
""cup diced yellow bell pepper"",
""cup mayonnaise or salad dressing"",
""slices firm white bread""
],
""PrepMethods"": [
""Heat oven to 375°F. In small bowl, stir together all ingredients except bread."",
""Spray cookie sheet with cooking spray. Cut star shape from each bread slice with 3- or 4-inch star-shaped cookie cutter. Spread about 1 tablespoon cheese mixture on each bread star; place on cookie sheet."",
""Bake 12 to 15 minutes or until cheese is melted and bottoms of bread stars are golden brown.""
]
"
125,appetizer,"""RecipeName"": ""Cheesy Zucchini Bites"",
""Ingredients"": [
""cups thinly sliced unpeeled zucchini (4 small)"",
""cup Original Bisquick™ mix"",
""cup finely chopped onion"",
""cup grated Parmesan cheese"",
""tablespoons chopped fresh parsley"",
""teaspoon salt"",
""teaspoon seasoned salt"",
""teaspoon dried marjoram or oregano leaves"",
""teaspoon pepper"",
""garlic clove, finely chopped"",
""cup vegetable oil"",
""eggs, slightly beaten""
],
""PrepMethods"": [
""Heat oven to 350°F. Grease bottom and sides of rectangular pan, 13x9x2 inches. "",
""Stir together all ingredients. Spread in pan."",
""Bake about 25 minutes or until golden brown. Cut into 2-inch squares; cut squares diagonally in half into triangles. ""
]
"
